subte,hospital,metrobus,universidad,escuela publica,escuela privada,centro de salud
833.900626182,2449.08638271,901.795710382,596.492183642,154.604880663,339.025455053,1029.51522336
131.371519741,2559.15930902,760.033283389,195.895047742,219.422237785,231.283122593,700.556035837
697.034365831,1265.45131134,1287.69321879,587.117379871,242.63245369,156.115886544,509.522294914
3727.2950701,4049.13538206,1561.31784676,1630.35125882,426.339641845,450.614315768,4985.28787145
1723.66052352,1146.0445092,253.929263506,1473.68755682,112.04786418,416.125443981,512.098329221
1723.66052352,1146.0445092,253.929263506,1473.68755682,112.04786418,416.125443981,512.098329221
1857.14695704,1276.84413256,376.227301971,1607.2838373,22.3037921623,295.428281023,633.929438354
2122.28286606,1538.07761318,633.104644805,1816.95965677,172.557340099,152.007532725,886.175017193
2122.28286606,1538.07761318,633.104644805,1816.95965677,172.557340099,152.007532725,886.175017193
2122.28286606,1538.07761318,633.104644805,1816.95965677,172.557340099,152.007532725,886.175017193
2287.96001559,1430.00835925,3323.19946529,951.860530428,184.510594896,49.9064743215,544.188515383
2208.23831091,1445.10773112,3613.91240702,827.089379239,347.684417057,255.762705654,837.929815787
2089.81425401,1664.25175148,4240.492108,890.639939889,359.655800829,144.084415111,1469.74132581
2089.81425401,1664.25175148,4240.492108,890.639939889,359.655800829,144.084415111,1469.74132581
640.9286116,2271.55021122,681.147678108,456.771000846,490.112754947,166.016320923,598.275375864
1958.19706854,2456.47152674,464.657228659,1393.01300324,288.093911132,22.911991343,146.872832498
2003.10164229,2447.09405664,563.063302134,1491.5916098,366.844327269,79.3888378199,231.349466379
2051.64826707,2441.71441415,659.568276372,1589.91873889,453.371851593,177.823496476,323.926983875
2194.09999707,2414.94698486,965.102691112,1684.33462386,341.546232858,354.910006764,616.674128039
2194.09999707,2414.94698486,965.102691112,1684.33462386,341.546232858,354.910006764,616.674128039
2548.63450204,2437.92591024,1600.73859936,1086.60082518,235.792909458,506.609008443,1077.72267881
332.719901744,584.37156158,2788.95491718,805.742252518,240.956678843,256.374410854,319.468947171
332.719901744,584.37156158,2788.95491718,805.742252518,240.956678843,256.374410854,319.468947171
332.719901744,584.37156158,2788.95491718,805.742252518,240.956678843,256.374410854,319.468947171
494.984780499,622.476480493,2768.60340272,932.498032725,404.612610772,209.315845658,431.735710848
602.791105017,669.923949658,2761.27212389,1022.10751908,375.642699601,245.867256083,521.986935643
1187.9059828,1684.75150034,801.76089562,1166.63419638,243.789966921,63.5519902367,828.858559319
294.619616527,1754.406046,1553.8426039,916.270251941,140.362720647,164.467209841,258.384437851
881.621645973,1661.30892,1904.36162128,1252.17258607,137.896895858,398.824520925,427.141221309
881.621645973,1661.30892,1904.36162128,1252.17258607,137.896895858,398.824520925,427.141221309
1046.10724403,1617.77152106,2245.87430429,1101.40307834,258.177881396,289.168299252,724.172177002
1046.10724403,1617.77152106,2245.87430429,1101.40307834,258.177881396,289.168299252,724.172177002
780.317994565,1333.53987405,773.712537319,146.018005884,165.297090978,103.22241522,485.304555001
542.534780846,1079.02374066,2367.57505434,500.934655893,245.607383423,256.918462588,860.166138206
542.534780846,1079.02374066,2367.57505434,500.934655893,245.607383423,256.918462588,860.166138206
3566.89469344,1262.32125156,1666.53803821,3335.82399747,163.951254871,356.595260175,3854.11563855
1349.02329743,711.023081939,536.935362055,1220.53544205,251.744010133,243.275171737,467.489933111
1349.02329743,711.023081939,536.935362055,1220.53544205,251.744010133,243.275171737,467.489933111
1440.56185584,2396.6570034,4422.09256044,1473.34471016,204.133838451,517.043548023,1901.23918437
1415.68913934,375.667340681,1513.63824064,131.237915404,249.346324261,311.185378299,521.210288892
610.375732407,1128.66221453,1589.06848854,1117.11151853,142.195013316,279.594648385,1150.6062308
567.13409416,1256.45010635,1943.65304291,915.459678087,189.45650072,212.160191879,1195.85408558
283.24096114,961.539100825,2078.20288486,1012.06870273,152.642900543,139.424853877,1003.87983009
283.24096114,961.539100825,2078.20288486,1012.06870273,152.642900543,139.424853877,1003.87983009
1112.75670704,1492.87869672,3250.83356277,1158.12031364,399.895319103,571.781576053,1329.57184817
5457.63995825,1844.78857162,2618.99239534,1979.99088026,493.827690923,286.102073473,3314.10865276
2864.73092395,514.607472685,926.533407069,2693.72198679,110.216295859,350.657476047,2335.88918448
1781.36489503,496.017248398,1965.39015158,1081.96014014,137.653021155,705.451124924,1316.62443225
924.811427114,622.704717311,1603.81525979,912.247393802,35.9055523245,573.491037599,950.746964977
924.811427114,622.704717311,1603.81525979,912.247393802,35.9055523245,573.491037599,950.746964977
576.533685663,459.420948503,2582.59551993,842.169021699,423.422117746,38.5686810132,356.828412377
489.791998211,599.984354219,2749.57633247,911.955299727,390.929990423,188.535818936,411.00043013
560.514405737,502.899437862,2059.59248291,522.267565886,49.4883047763,210.305155263,559.829894075
503.941543079,937.396571932,1908.37012024,315.301211118,313.076167121,79.3134835705,718.000165214
624.596876742,1272.5514028,1527.52451707,821.939409638,354.446115825,333.786461845,924.675872821
553.866324345,923.260634892,1436.20723,935.948679005,234.694717748,74.3214989532,1034.13400659
591.571264775,769.815429314,1421.89944786,924.771283998,78.4450645069,196.078448371,898.409706508
635.486826343,671.375965681,1389.23581636,931.496790652,23.7081635576,176.792270498,814.604377521
875.083050428,1445.30608595,1752.0650701,1468.14179585,348.265603342,245.54038668,572.913893915
875.083050428,1445.30608595,1752.0650701,1468.14179585,348.265603342,245.54038668,572.913893915
225.222751835,1617.47354225,1227.17207502,120.65284932,138.094982292,28.5625208349,398.166738406
225.222751835,1617.47354225,1227.17207502,120.65284932,138.094982292,28.5625208349,398.166738406
607.555342322,1179.21735244,1364.18307346,689.236301313,229.597163647,120.001845002,895.811555753
635.06170447,1246.71685698,1451.20955447,746.368429674,149.353492163,182.765932969,918.3310652
823.441488385,1512.45314984,1760.21643912,999.515211616,249.348294955,87.158434518,1070.7525155
696.075969331,1551.28210057,123.29327433,1285.11690065,52.7397192115,252.396299608,1128.8931699
1202.95446381,1456.74770393,756.331096919,1137.7167484,133.82716659,103.907820062,1472.48254079
2811.38067258,1285.8512015,327.85182814,2757.39311604,331.861376053,211.683318208,2967.90308205
2946.12166513,1236.57986089,333.462118687,2891.48097909,261.104001115,243.4244874,3088.5422592
2946.12166513,1236.57986089,333.462118687,2891.48097909,261.104001115,243.4244874,3088.5422592
2926.28640275,1040.81702595,4420.34250485,406.324713845,364.986332207,209.510396918,1694.53790044
