id_univ,nombre,domicilio,tipo,sigla,domic_2,cp,telef,fax,web_univer,web_facult,unidad_aca,lon,lat,,,,
22,Universidad Nacional de Quilmes,2358 RIVADAVIA,UN,UNQUI,Rivadavia 2358 , 6º piso,1034,4951-8221/2431,4951-8221/2431,www.unq.edu.ar,,-58.3998503199,-34.6099602415,,,,
99,Universidad de Bologna,1464 RODRIGUEZ PEÑA,UE,UNIBO,Rodriguez Peña 1464,1021,4878-2900,4878-8628,www.unibo.edu.ar,,Rectorado,-58.3909873641,-34.59295837,,,,
56,Universidad del Salvador,670 RODRIGUEZ PEÑA,UP,USAL,Rodríguez Peña 670,1020,4375-2959,4375-2959,www.salvador.edu.ar,,Facultad de Filosofía,-58.3915769996,-34.6011336473,,,,
56,Universidad del Salvador,770 RODRIGUEZ PEÑA,UP,USAL,Rodríguez Peña 770,1020,4813-0180,4813-0180,www.salvador.edu.ar,,Instituto de Capacitación Contínua,-58.3916771879,-34.5999524238,,,,
52,Universidad de Morón,243 SAN JOSE,UP,UNIMORON,San José 243/225 1º piso,1076,4381-3358,,,,Anexo Académico IAETES (Instituto Argentino de Estudios Técnicos Económicos y So,-58.3863189362,-34.6116271651,,,,
42,Universidad Argentina John F. Kennedy,868 SAN JOSE,UP,UK,San José 868,1424,4383-5371/ 4382-4259,,www.kennedy.edu.ar,,Departamento de Estudiantes,-58.3856613123,-34.6184043986,,,,
54,Universidad del Museo Social Argentino,1565 SARMIENTO,UP,UMSA,Sarmiento 1565,1042,5217-9401,4375-4600,www.umsa.edu.ar,,Facultad de Artes y Ciencias de la Conservación,-58.3887569824,-34.6052815689,,,,
38,Universidad Tecnológica Nacional,440 SARMIENTO,UN,UTN,Sarmiento 440 - piso 3º, 5º, 6º, 7º, 8º,1347,5371-5700/5600/5702/5704/5703,-58.3729224166,-34.6045515788,,Rectorado,,
66,Universidad Maimónides,456 TALCAHUANO,UP,UM,Talcahuano 456,1013,4373-1090/4905-1154 /4382-7510,4373-1090,www.maimonides.edu,,Rectorado,-58.385347174,-34.6032543174,,,,
38,Universidad Tecnológica Nacional,3174 TRIUNVIRATO,UN,UTN,Triunvirato 3174,1427,4554-1667/4552-4176 /6027,4552-4176 / 6027,www.utn.edu.ar,www.inspt.utn.edu.ar,Instituto Nacional Superior del Profesorado Técnico,-58.467088687,-34.5841246764,,,,
56,Universidad del Salvador,1818 PERON JUAN DOMINGO,UP,USAL,Tte. Juan Domingo Perón  1818,1040,4372-5308,4372-5308,www.salvador.edu.ar,,Facultad de Ciencias Jurídicas,-58.392460984,-34.60700794,,,,
56,Universidad del Salvador,1845 TUCUMAN,UP,USAL,Tucumán  1845,1050,4811-8519/4813-2935,4811-8519,www.salvador.edu.ar,,Facultad de Medicina,-58.3932896891,-34.6018858267,,,,
1,Universidad de Buenos Aires,3177 TUCUMAN,UN,UBA,Tucumán 3177,1189,4508-3977,,www.uba.ar,,"Sede - ""Tucumán""(ex ""Uriburu"")",-58.4104100534,-34.6004473684,,,,
81,Instituto Universitario Aeronáutico,153 VIAMONTE,IN,IUA,Viamonte 153,1053,4514-4267,4514-4267,,,Instituto Nacional de Derecho Aeronáutico y Espacial,-58.3701886084,-34.5992954747,,,,
56,Universidad del Salvador,1856 VIAMONTE,UP,USAL,Viamonte 1856,1056,4813-9630/1408,4812-4625,www.salvador.edu.ar,,Rectorado,-58.393526784,-34.60100183,,,,
1,Universidad de Buenos Aires,430 VIAMONTE,UN,UBA,Viamonte 430/444 y Reconquista 694,1053,4511-8153 (C)4510-1100,4511-8123,www.uba.ar,,Rectorado,-58.3730664168,-34.5998618226,,,,
86,Instituto Tecnológico de Buenos Aires,399 MADERO EDUARDO,IP,ITBA,Av. Eduardo Madero 399,1106,6393-4800,6393-4800,www.itba.edu.ar,,Depart. de Ing. Electrónica y Electrotecnia/ Ing. Industrial/ Ing. Mecánica/ Ing. Química y de Petróleo/ Ing. En Informática/ Materias Físico-Matemáticas/ Desarrollos de Recursos/ Economía,-58.3679078517,-34.6033411711,,,,
91,"Instituto Universitario ""Escuela Superior de Economía y Administración de Empresas",2472 URIARTE,IP,ESEADE,Uriarte 2472,1425,4773-3735/4773-5825/4772-7243,4773-3735,www.eseade.edu.ar,,Departamento de Economía y Ciencias Sociales / Administración y Formación Empresarial / Rectorado,-58.4231074572,-34.5807198877,,,,
81,Instituto Universitario Aeronáutico,1370 BELGRANO,IN,IUA,Av. Belgrano 1370 piso 12,C1093,4382-3834 // 4382-3670/4146/4017,4382-3834,,,Unidad de Educación a Distancia en el Exterior / Centro de Gestión en Buenos Aires,-58.3856081746,-34.6135738715,,,,
89,Instituto Universitario CEMIC,4102 GALVAN,IP,IUC,Av. Galván 4102,1431,4546-8290/91 (C)4546-8200 / 4546-8228,4546-8274,www.cemic.edu.ar,,Instituto de Investigaciones / Escuela de Medicina / Rectorado,-58.4952982743,-34.5570355406,,,,
87,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,2191 LAS HERAS,IP,BARCELO,Av. Las Heras 2191,1127,4805-2607/ 4804-4723/ 4576-2350/1 y 2,4805-2607,www.barcelo.edu.ar,,Facultad de Medicina / Rectorado,-58.3956161221,-34.5885495181,,,,
92,Instituto Universitario de la Fundación ISALUD,931 VENEZUELA,IP,ISALUD,Venezuela 931,1095,5239-4000,5239-4020,www.isalud.org,,Facultades de Salud / Administración y Economía / Ciencias Sociales / De Alimentos y Nutrición / Rectorado,-58.3794511094,-34.6139545388,,,,
80,Instituto Universitario de la Policía Federal Argentina,ROSARIO 532,IN,IUPFA,Rosario 532,C1424,4903-7516/ 4902-4543/ 4902-4201/ 4901-9783,4909-4207,www.universidad-policial.edu.a,,Facultad de Ciencias Jurídicas y Sociales / Ciencias de la Seguridad / Ciencias Biomédicas / Ciencias de la Criminalística / Rectorado,-58.4363034761,-34.6196440722,,,,
80,Instituto Universitario de la Policía Federal Argentina,USPALLATA 3400,IN,IUPFA,Uspallata 3400,C1437,4909-4100 // 4909-4121/4179,4909-4121,www.universidad-policial.edu.a,,Facultad de Ciencias Biomédicas / Escuela de Enfermería “Nuestra Señora de los Remedios” / Escuela de Instrumentación Quirúrgica,-58.4113516048,-34.6397754129,,,,
84,Instituto Universitario Nacional del Arte,443 SANCHEZ DE LORIA,IN,IUNA,Sánchez de Loria 443/47/51,1173,4956-0168 // 4956-0075,,www.iuna.edu.ar,,Departamento de Artes del Movimiento “María Ruanova” / Área Transdepartamental de Folklore “Antonio Barcelo”,-58.4130641478,-34.614693065,,,,
84,Instituto Universitario Nacional del Arte,843 YATAY,IN,IUNA,Yatay 843,1184,4 861-1541 // 4864-0004/ 4862-8209,,www.iuna.edu.ar,,Departamento de Artes Audiovisuales / Área Transdepartamental Carrera de Artes Multimediales,-58.428288033,-34.6018924283,,,,
39,Pontificia Universidad Católica Argentina,1400 MOREAU DE JUSTO,UP,UCA,"Av. Alicia Moreau de Justo  1400 ""Edificio Santo Tomás Moro""",1107,4349-0200,4349-0223,www.uca.edu.ar,,Instituto de Ciencias Políticas y Relaciones Internacionales / Ciencias Sociales y Económicas / Derecho / Psicología y Educación /,-58.3658514363,-34.6144452303,,,,
39,Pontificia Universidad Católica Argentina,1500 MOREAU DE JUSTO,UP,UCA,"Av. Alicia Moreau de Justo  1500 ""Edificio San Alberto Magno""",1107,4349-0200/0419/20,4349-0402,www.uca.edu.ar,,Facultad de Filosofía y Letras / Ciencias Físicomatemáticas e Ingeniería / Artes y Ciencias Musicales / Derecho Canónico / Ciencias Médicas,-58.3657224708,-34.6155486953,,,,
79,Universidad Abierta Interamericana,90 CHACABUCO,UP,UAI,Chacabuco 90 1º piso,1069,4342-7788,4342-7654,www.uai.edu.ar,,Faculta de Medicina y Ciencias de la Salud/ Psicología y Relaciones Humanas/ Derecho y Ciencias Políticas/ Motricidad Humana y Deportes/ Ciencias Empresariales/ Desarrollo e Inv. Educativos/ Arquitectura/ Tecnología Informática/ Comunicación/ Turismo,-58.3761466324,-34.6090974911,,,,
41,Universidad Argentina de la Empresa,717 LIMA,UP,UADE,Lima 717,1073,4379-7601/7636/7601,4381-2807,www.uade.edu.ar,,Facultad de Ingeniería y Ciencias Exactas / Ciencias Económicas / Ciencias Jurídicas y Sociales / Comunicación y Diseño / Dirección de Empresas / Rectorado,-58.381782124,-34.6168783704,,,,
42,Universidad Argentina John F. Kennedy,1411 BARTOLOME MITRE,UP,UK,Bartolomé Mitre 1411 1º Piso,1037,4371-6043 (C)4374-5211,,www.kennedy.edu.ar,,Departamento de Arte / Abogacía / Trabajo / Economía / Relaciones Públicas / Literatura / Matemática y Física / Rectorado,-58.3865507447,-34.6074456992,,,,
42,Universidad Argentina John F. Kennedy,1163 BOLIVAR,UP,UK,Bolivar 1163,1066,4362-5766/4361-6506,,www.kennedy.edu.ar,,Departamento de Construcciones y Estructuras / Diseño / Arquitectura / Empresa,-58.3730618803,-34.62145515,,,,
42,Universidad Argentina John F. Kennedy,360 CARLOS CALVO,UP,UK,Carlos Calvo 360,1230,4932-9307,,www.kennedy.edu.ar,,Departamento de Química General,-58.3709148306,-34.6196743211,,,,
42,Universidad Argentina John F. Kennedy,3729 DON BOSCO,UP,UK,Don Bosco 3729,1206,4982-2746/4958-4075,,www.kennedy.edu.ar,,Departamento de Tecnologías Informáticas / Diseño de Sistemas,-58.4183008999,-34.6124130576,,,,
