63;Universidad de Ciencias Empresariales y Sociales;1457 PARAGUAY;UP;UCES;Paraguay 1457, 3º piso;1061;4815-3290;4816-5144;www.uces.edu.ar;;Facultad de Ciencias Económicas;-58.387677340088779;-34.598223394128937
63;Universidad de Ciencias Empresariales y Sociales;1462 PARAGUAY;UP;UCES;Paraguay 1462, 1º piso;1061;4815-3290;4815-3290;www.uces.edu.ar;;Facultad de Ciencias Jurídicas y Sociales;-58.387697127276709;-34.598440519894346
1;Universidad de Buenos Aires;2155 PARAGUAY;UN;UBA;Paraguay 2155;1121;5950-9501/02/03 (C)9500/8000;;www.uba.ar;www.fmed.uba.ar;Facultad de Medicina;-58.39825602616741;-34.598262860546726
84;Instituto Universitario Nacional del Arte;786 PARAGUAY;IN;IUNA;Paraguay 786;1057;4516-0992/93/94/4322-1130;4516-0992;www.iuna.edu.ar;;Rectorado;-58.378080630229654;-34.597768348287794
42;Universidad Argentina John F. Kennedy;221 PARRAL;UP;UK;Parral 221;1405;4901-1079/1935;;www.kennedy.edu.ar;;Escuela de Odontología;-58.439878218408424;-34.616821174277042
46;Universidad Católica de Salta;533 PASEO COLON;UP;UCLP;Paseo Colón 533 piso 8º;1063;5169-3324/93316;;;;Subsede Académica Buenos Aires;-58.369708196713148;-34.613983994587805
1;Universidad de Buenos Aires;850 PASEO COLON;UN;UBA;Paseo Colón 850;1063;4331-0833/4342-6272/2659 (R)4343-0891 (C)0;4345-7262;www.uba.ar;www.fi.uba.ar;Facultad de Ingeniería;-58.368415921157705;-34.617627776241633
40;Universidad CAECE;555 PERON;UP;CAECE;Perón 555 1º piso;;4393-0014/4328-5226;;www.caece.edu.ar;;Escuela de Administración y Negocios;-58.374469276472468;-34.605526102519335
42;Universidad Argentina John F. Kennedy;1156 PERU;UP;UK;Perú 1156;1068;4300-3816;;www.kennedy.edu.ar;;Departamento de Penalistica;-58.373976458355337;-34.621410071270084
84;Instituto Universitario Nacional del Arte;1655 PIEDRAS;IN;IUNA;Piedras 1655;1140;4362-1699;;www.iuna.edu.ar;;Área Transdepartamental de Carrera de Formación Docente;-58.375217260494843;-34.628117209878283
42;Universidad Argentina John F. Kennedy;645 PIEDRAS;UP;UK;Piedras 645;1070;4345-0175/8671;;www.kennedy.edu.ar;;Departamento de Periodismo y Comunicaciones;-58.377630869260884;-34.615634774161407
79;Universidad Abierta Interamericana;1052 PIEDRAS;UP;UAI;Pieras 1052;1070;4300-2147;;www.uai.edu.ar;;Localización Centro Anexo;-58.377071941994565;-34.62031573749001
79;Universidad Abierta Interamericana;735 PIEDRAS;UP;UAI;Pieras 735;1070;4300-2147;;www.uai.edu.ar;;Localización Centro Anexo;-58.377597286059718;-34.616704498520335
84;Instituto Universitario Nacional del Arte;1172 PINZON;IN;IUNA;Pinzón 1172;1161;4 301-2405;;www.iuna.edu.ar;;Carrera de Posgrado de Especialista en Arte-Terapia;-58.369270235513355;-34.636601290328436
94;"Instituto Universitario ""Escuela de Medicina del Hospital Italiano""";4240 POTOSI;IP;IUEMHI;Potosí 4240;1119;4983-2624 [C]495-90200;4983-2624;www.hospitalitaliano.org.ar/es;;Rectorado;-58.426843728299431;-34.607421195271826
1;Universidad de Buenos Aires;470 PUAN;UN;UBA;Puán 470;1406;4432-9608/0606;4432-0121;www.uba.ar;www.filo.uba.ar;Facultad de Filosofía y Letras;-58.446505643413808;-34.628193992242863
39;Pontificia Universidad Católica Argentina;183 FREIRE;UP;UCA;Ramón Freire 183;1426;4552-2711/2721/2724;4552-2711;;;Facultad de Ciencias Agrarias;-58.444382107165303;-34.579281834699998
8;Universidad Nacional de General San Martín;2250 RAMSAY;UN;UNGSM;Ramsay 2250 - Nuñez;1428;4576-0450/51/55;4576-0450;www.ungsm.edu.ar;;Instituto de Ciencias de la Rehabilitación y el Movimiento;-58.441326543796066;-34.550673915815736
22;Universidad Nacional de Quilmes;2358 RIVADAVIA;UN;UNQUI;Rivadavia 2358 , 6º piso;1034;4951-8221/2431;4951-8221/2431;www.unq.edu.ar;;Instituto de Estudios sobre la Ciencia y la Tecnología;-58.39985031985286;-34.609960241508354
99;Universidad de Bologna;1464 RODRIGUEZ PEÑA;UE;UNIBO;Rodriguez Peña 1464;1021;4878-2900;4878-8628;www.unibo.edu.ar;;Rectorado;-58.390987364080566;-34.592958370046127
56;Universidad del Salvador;670 RODRIGUEZ PEÑA;UP;USAL;Rodríguez Peña 670;1020;4375-2959;4375-2959;www.salvador.edu.ar;;Facultad de Filosofía, Historia y Letras;-58.391576999586107;-34.601133647261129
56;Universidad del Salvador;770 RODRIGUEZ PEÑA;UP;USAL;Rodríguez Peña 770;1020;4813-0180;4813-0180;www.salvador.edu.ar;;Instituto de Capacitación Contínua;-58.391677187908975;-34.599952423755461
52;Universidad de Morón;243 SAN JOSE;UP;UNIMORON;San José 243/225 1º piso;1076;4381-3358;;;;Anexo Académico IAETES (Instituto Argentino de Estudios Técnicos Económicos y So;-58.386318936219475;-34.611627165126876
42;Universidad Argentina John F. Kennedy;868 SAN JOSE;UP;UK;San José 868;1424;4383-5371/ 4382-4259;;www.kennedy.edu.ar;;Departamento de Estudiantes;-58.385661312314681;-34.618404398579067
54;Universidad del Museo Social Argentino;1565 SARMIENTO;UP;UMSA;Sarmiento 1565;1042;5217-9401;4375-4600;www.umsa.edu.ar;;Facultad de Artes y Ciencias de la Conservación;-58.38875698242655;-34.605281568943738
38;Universidad Tecnológica Nacional;440 SARMIENTO;UN;UTN;Sarmiento 440 - piso 3º, 5º, 6º, 7º, 8º;1347;5371-5700/5600/5702/5704/5703;5371-5697;www.utn.edu.ar;;Rectorado;-58.372922416563092;-34.604551578773666
66;Universidad Maimónides;456 TALCAHUANO;UP;UM;Talcahuano 456;1013;4373-1090/4905-1154 /4382-7510;4373-1090;www.maimonides.edu;;Rectorado;-58.385347174002845;-34.603254317404179
38;Universidad Tecnológica Nacional;3174 TRIUNVIRATO;UN;UTN;Triunvirato 3174;1427;4554-1667/4552-4176 /6027;4552-4176 / 6027;www.utn.edu.ar;www.inspt.utn.edu.ar;Instituto Nacional Superior del Profesorado Técnico;-58.467088686969738;-34.584124676434911
56;Universidad del Salvador;1818 PERON JUAN DOMINGO;UP;USAL;Tte. Juan Domingo Perón  1818;1040;4372-5308;4372-5308;www.salvador.edu.ar;;Facultad de Ciencias Jurídicas;-58.392460983958799;-34.607007940025177
56;Universidad del Salvador;1845 TUCUMAN;UP;USAL;Tucumán  1845;1050;4811-8519/4813-2935;4811-8519;www.salvador.edu.ar;;Facultad de Medicina;-58.393289689103554;-34.601885826713819
